;Libellé commune ou ARM;Région;Département;Hypermarché;Supermarché;Grande surface de bricolage;Supérette;Epicerie;Boulangerie;Boucherie charcuterie;Produits surgelés;Poissonnerie;Librairie papeterie journaux;Magasin de vêtements;Magasin d'équipements du foyer;Magasin de chaussures;Magasin d'électroménager et de matériel audio-vidéo;Magasin de meubles;Magasin d'articles de sports et de loisirs;Magasin de revêtements murs et sols;Droguerie quincaillerie bricolage;Parfumerie - Cosmétique;Horlogerie Bijouterie;Fleuriste - Jardinerie - Animalerie;Magasin d'optique;Magasin de matériel médical et orthopédique;Station service
0;LIBGEO;REG;DEP;NB_B101;NB_B102;NB_B103;NB_B201;NB_B202;NB_B203;NB_B204;NB_B205;NB_B206;NB_B301;NB_B302;NB_B303;NB_B304;NB_B305;NB_B306;NB_B307;NB_B308;NB_B309;NB_B310;NB_B311;NB_B312;NB_B313;NB_B315;NB_B316
1712;L'Argentière-la-Bessée;93;05;0;2;0;0;1;4;2;0;0;2;1;0;1;1;0;2;0;1;0;0;0;1;1;1
1713;Arvieux;93;05;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0
1714;Aspremont;93;05;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1715;Aspres-lès-Corps;93;05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1716;Aspres-sur-Buëch;93;05;0;0;0;0;1;1;1;0;0;1;0;0;0;0;1;1;0;1;0;0;0;0;0;0
1717;Avançon;93;05;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
1718;Baratier;93;05;0;1;1;0;0;4;0;0;0;0;0;0;1;1;0;2;0;1;0;0;0;1;0;3
1719;Barcillonnette;93;05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1720;Barret-sur-Méouge;93;05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1721;La Bâtie-Montsaléon;93;05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1722;La Bâtie-Neuve;93;05;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;1
1723;La Bâtie-Vieille;93;05;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
1724;La Beaume;93;05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1725;Le Bersac;93;05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1726;Bréziers;93;05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1727;Briançon;93;05;2;3;2;2;6;12;5;1;1;9;24;13;7;3;6;17;0;1;2;3;6;7;3;3
